Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
DEGUEDO,A3C3,4,R,26.8,16.65,4.97,4.27,4.21,4.15,4.12,4.11,4.08,4.06,4.04,4.03,4.01,3.99,3.98,3.98,3.97,3.96,3.95,3.95,3.98,4.13,4.61,5.75,7.59,10.08,12.83,15.09,15.98,15.61,13.44,14.29,22.73,34.83
DEGUEDO,A3C3,4,R,29.28,25.05,10.64,3.94,3.96,3.96,3.93,3.89,3.85,3.82,3.77,3.74,3.68,3.64,3.63,3.64,3.64,3.66,3.7,3.85,4.24,5.21,7.17,10.11,13.13,15.66,17.86,18.75,17.83,15.98,12.74,13.18,21.73,34.69
DEGUEDO,A3C3,4,R,37.28,27.4,17.96,4.33,4.65,4.93,5.05,5.08,5.08,5.08,5.06,4.96,4.85,4.94,5.22,5.52,5.68,5.8,6.02,6.59,7.79,10.09,13.69,18.05,21.67,24.06,25.95,26.33,24.63,21.87,17.5,17.84,27.39,40.77
DEGUEDO,A3C3,4,R,32.36,27.69,12.17,4.41,4.53,4.63,4.64,4.61,4.57,4.52,4.45,4.37,4.26,4.21,4.18,4.19,4.19,4.21,4.29,4.52,5.12,6.59,9.42,13.35,16.97,19.6,21.59,21.9,20.3,18.15,14.63,15.04,23.47,35.53
DEGUEDO,A3C3,4,R,28.64,23.08,8.4,4.23,4.19,4.15,4.1,4.07,4.04,4.02,3.98,3.96,3.93,3.9,3.9,3.9,3.89,3.88,3.88,3.92,4.06,4.55,5.82,8.14,11.08,14.19,17.14,19.13,19.41,18.25,15.3,15.98,24.55,36.01
DEGUEDO,A3C3,4,R,30.05,23.38,9.82,4.25,4.3,4.33,4.31,4.27,4.24,4.21,4.16,4.1,4.05,4.01,3.99,3.99,4,4.01,4.06,4.22,4.63,5.66,7.69,10.64,13.46,15.61,17.38,17.77,16.51,14.75,11.89,12.2,19.69,32.16
DEGUEDO,A3C3,4,R,36.43,27.23,16.42,4.7,4.96,5.13,5.15,5.13,5.12,5.08,5.03,4.91,4.78,4.77,4.88,5.03,5.13,5.27,5.54,6.21,7.57,10.1,13.86,18.04,21.12,22.73,23.94,23.44,21.07,18.41,14.41,14.85,24.17,38.03
DEGUEDO,A3C3,4,R,32.16,29.84,12.83,4.25,4.37,4.45,4.44,4.41,4.37,4.33,4.27,4.2,4.09,4.04,4.03,4.03,4.03,4.05,4.13,4.34,4.87,6.15,8.67,12.44,16.48,20.16,23.4,25.2,24.79,22.87,18.89,19.56,29.71,43.2
DEGUEDO,A3C3,4,R,34.21,33.89,14.81,4.5,4.67,4.79,4.79,4.74,4.68,4.61,4.55,4.44,4.32,4.26,4.23,4.24,4.23,4.26,4.35,4.59,5.22,6.8,9.95,14.65,19.68,24.24,28.11,30.59,30.85,29.11,24.88,25.32,34.95,46.61
DEGUEDO,A3C3,5,P,24.07,1.42,0,4.3,4.23,4.17,4.14,4.14,4.13,4.12,4.09,4.09,4.08,4.07,4.06,4.07,4.06,4.06,4.06,4.06,4.07,4.08,4.1,4.11,4.13,4.17,4.25,4.47,4.96,5.63,6.27,7.44,10.91,16.45
